name,category,types,rating,review,city,lat,lng,review_count,review_avg_rating,user_ratings_total
"Sri Lakshmi Narasimha Swami Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.8,"","bengaluru",13.0046692,77.5718648,0,4.8,2983
"Shri Ramanjaneya Gudda Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9446167,77.5632595,0,4.7,2538
"Sri Krishna Sri Raghavendra Swamy Matha","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9405477,77.5425569,0,4.7,2397
"Gandhi Bhavana","museum","museum | tourist_attraction | point_of_interest | establishment",4.3,"","bengaluru",12.987898,77.58023299999999,0,4.3,2348
"Sri Kailasa Vaikunta Mahakshetra Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9820268,77.5557736,0,4.7,2249
"Hotel Grand Bee","tourist attraction","tourist_attraction | restaurant | lodging | point_of_interest | food | establishment",3.9,"","bengaluru",13.0199,77.5544449,0,3.9,2063
"Ascension Church","tourist attraction","tourist_attraction | church | place_of_worship | point_of_interest | establishment",4.6,"","bengaluru",13.0024983,77.6257601,0,4.6,1960
"Sacred Heart Church","tourist attraction","tourist_attraction | church | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9662738,77.609807,0,4.7,1877
"National Gallery of Modern Art (Bengaluru)","library","library | art_gallery | tourist_attraction | cafe | museum | food | point_of_interest | store | establishment",4.3,"","bengaluru",12.9894116,77.5880553,0,4.3,1823
"Maha Bodhi Society","tourist attraction","tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9784856,77.5810225,0,4.7,1796
"Floral Clock","tourist attraction","tourist_attraction | point_of_interest | establishment",4.3,"","bengaluru",12.9518954,77.58489329999999,0,4.3,1715
"Sri Yadugiri Yathiraja Mutt","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.5,"","bengaluru",13.0021189,77.571186,0,4.5,1639
"National Military Memorial Park","park","park | tourist_attraction | point_of_interest | establishment",4.5,"","bengaluru",12.9854791,77.59048469999999,0,4.5,1573
"Kalyana Venkateshwara Swamy Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.910415,77.5822853,0,4.7,1560
"Sree Lakshmi Venkateshwara Siddhi Vinayaka varadanjaneya Devasthana","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.6,"","bengaluru",12.9161402,77.602916,0,4.6,1485
"The Weekend Dog Park @ Cubbon Park","park","park | tourist_attraction | point_of_interest | establishment",4.8,"","bengaluru",12.9743559,77.5901927,0,4.8,1479
"Rangoli Metro Art Center","art gallery","art_gallery | tourist_attraction | point_of_interest | establishment",4.3,"","bengaluru",12.9763051,77.60379019999999,0,4.3,1473
"NIMHANS Brain Museum Bengaluru","museum","museum | tourist_attraction | point_of_interest | establishment",4.6,"","bengaluru",12.9398589,77.595128,0,4.6,1394
"Kote Sri Prasanna Venkataramana Swamy Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9595393,77.5740643,0,4.7,1299
"Government Museum","museum","museum | tourist_attraction | point_of_interest | establishment",4.2,"","bengaluru",12.9746376,77.595827,0,4.2,1199
"Lalbagh Waterfall","tourist attraction","tourist_attraction | point_of_interest | establishment",4.3,"","bengaluru",12.9466354,77.5864963,0,4.3,1171
"Venkatappa Art Gallery Bengaluru","art gallery","art_gallery | tourist_attraction | point_of_interest | establishment",4.2,"","bengaluru",12.9742357,77.5953023,0,4.2,1169
"Shri Dattatreya Devasthana (Hosakerehalli)","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.5,"","bengaluru",12.9248842,77.5401899,0,4.5,1112
"CSI Holy Trinity Church","church","church | tourist_attraction | place_of_worship | point_of_interest | establishment",4.6,"","bengaluru",12.9721431,77.6205788,0,4.6,1020
