name,city,shopping_score,user_ratings_total,weighted_rating,popularity_score
Max,thiruvananthapuram,0.6587,3659,4.1419,0.7376
Anchovy,kochi,0.6586,33,4.2281,0.317
Hawalker Factory,kozhikode,0.6586,6,4.2204,0.1749
Ziya Footwear,kozhikode,0.6586,1,4.2191,0.0623
Aadithya Arcade,thrissur,0.6586,8,4.2174,0.1975
Premier Lodgings,thrissur,0.6586,41,4.2063,0.336
Vaiga's Stiching Centre,thiruvananthapuram,0.6586,472,4.1196,0.5536
Horrest place,thrissur,0.6585,1,4.2191,0.0623
Crown Plaza Shoppe,thiruvananthapuram,0.6585,49,4.2135,0.3517
Fair Mount Tower,kozhikode,0.6585,169,4.1861,0.4617
Anachal,munnar,0.6584,26,4.2223,0.2963
Kerala Traditional Homely Food,munnar,0.6584,21,4.2206,0.2779
kannammoola puthan palam road,thiruvananthapuram,0.6584,1,4.2191,0.0623
Street Art Magic Kochi,kochi,0.6584,0,4.2187,0.0
PULLU THAMARA,thrissur,0.6584,0,4.2187,0.0
Samudra Global Group,thiruvananthapuram,0.6584,0,4.2187,0.0
RDS Square,thrissur,0.6584,0,4.2187,0.0
Bismi designer studio,kozhikode,0.6584,8,4.2138,0.1975
Jomar Arcade,kochi,0.6584,24,4.209,0.2893
Kalluvetty Kulam,wayanad,0.6583,3,4.2199,0.1246
"Avera Bund Palam, near chovva spinning mill",kannur,0.6583,5,4.2191,0.1611
PKB KEPCO Chicken Outlet / Abad Fish & Frozen foods.,thiruvananthapuram,0.6583,13,4.2186,0.2372
Anayara,thiruvananthapuram,0.6583,10,4.2176,0.2155
Spitz Complex,thrissur,0.6583,85,4.2138,0.4004
"St. Mary's Roman Catholic Church, Pongumood",thiruvananthapuram,0.6582,77,4.2365,0.3916
Waves Beach Resort,kannur,0.6582,131,4.2298,0.4389
Ann's ARTCADE,alappuzha,0.6582,7,4.2214,0.1869
Malala Arcade,thrissur,0.6582,8,4.2194,0.1975
"Pottamkul ,tea spices ,munnar",munnar,0.6582,0,4.2187,0.0
SALAM PLAZA,kannur,0.6582,0,4.2187,0.0
Willingdon Island,kochi,0.6581,33,4.2216,0.317
Sura soi Tea Meadows,munnar,0.6581,1,4.2191,0.0623
Pupoli,wayanad,0.6581,0,4.2187,0.0
"ഗാന്ധി സ്മൃതി മണ്ഡപം, ആലപ്പുഴ",alappuzha,0.6581,7,4.2148,0.1869
Kerala RTO checkpost,wayanad,0.6581,33,4.2038,0.317
Paakzy (Trivandrum),thiruvananthapuram,0.658,1,4.2191,0.0623
East Fort Tower,thrissur,0.658,2,4.2185,0.0988
PickupTrails - Best Travels & Tours | Kerala DMC,kozhikode,0.6579,117,4.2619,0.4288
Venice Castle Home Stay,alappuzha,0.6579,98,4.2412,0.4131
Star Fancy. Foot wear . And Gift Store,thiruvananthapuram,0.6579,43,4.2225,0.3402
HOUSEBOAT ALAPPUZHA,alappuzha,0.6579,11,4.2197,0.2234
Lourdes Matha Church,munnar,0.6579,5,4.2181,0.1611
CHIRA HOUSE BOAT,kannur,0.6579,3,4.2179,0.1246
Sree Rajarajeswari Building,alappuzha,0.6579,16,4.2169,0.2547
Amaze World Restaurant,alappuzha,0.6579,10,4.2166,0.2155
Thriveni Building,kochi,0.6579,19,4.2157,0.2693
Elite Arcade,kozhikode,0.6579,74,4.2037,0.3881
Niyatma Resort Wayanad by VOYE HOMES,wayanad,0.6578,1035,4.2805,0.6241
Blue Mermaid Homestay,kannur,0.6578,120,4.2233,0.4311
View Point,kochi,0.6578,43,4.2204,0.3402
PEEGEES,kochi,0.6578,1,4.2191,0.0623
Ivory Tower,kozhikode,0.6578,1,4.2191,0.0623
Alleppey - Homes,alappuzha,0.6578,27,4.2171,0.2995
Tea Gardens,munnar,0.6577,160,4.2395,0.4568
Pulickattil Handicrafts,alappuzha,0.6577,170,4.2329,0.4622
Manal chalad,kannur,0.6577,2,4.2195,0.0988
MPD building,wayanad,0.6577,0,4.2187,0.0
Royale Park,alappuzha,0.6577,4373,4.1372,0.7536
Ambady Estate,munnar,0.6576,583,4.2822,0.5726
Rouka,kochi,0.6576,59,4.2296,0.368
Casa Del Fauno,munnar,0.6576,12,4.2216,0.2306
Punnamada Junction,alappuzha,0.6576,25,4.2209,0.2929
Mary Matha Stores,kochi,0.6576,5,4.2176,0.1611
mittus paints and hardwares,thrissur,0.6576,12,4.2174,0.2306
Dock view,kochi,0.6575,4,4.2192,0.1447
Nedunilath Building,kochi,0.6575,0,4.2187,0.0
Kattambally back water,kannur,0.6575,9,4.2186,0.207
ABAD Nucleus,kochi,0.6575,15017,4.0257,0.8645
Mukkam muslim orphanage building,kozhikode,0.6574,3,4.2194,0.1246
Rock Pot Point,kozhikode,0.6574,36,4.2184,0.3246
TWCCS Super Market,thrissur,0.6574,6,4.2159,0.1749
New Max Complex,thrissur,0.6574,7,4.2148,0.1869
Garuda,thiruvananthapuram,0.6573,6,4.2201,0.1749
Geo Trading Co,thiruvananthapuram,0.6573,12,4.2192,0.2306
ROCK PATH ADVENTURES & SPORTS ECO TOURISM,munnar,0.6573,1,4.2191,0.0623
VE Arcade,kochi,0.6573,1,4.2191,0.0623
"Zudio - M.G Road, Thiruvananthapuram",thiruvananthapuram,0.6572,4644,4.4153,0.759
Cruisers View point,munnar,0.6572,4,4.2202,0.1447
Rajeshettante thattukada,thrissur,0.6572,183,4.2087,0.4688
Eravikulam National Park,munnar,0.6571,22408,4.2933,0.9005
"Casa Feliz- Homestay in Kochi, Ernakulam",kochi,0.6571,47,4.2343,0.348
Kurikkal Tiles Godown,kozhikode,0.6571,22,4.2152,0.2819
M.D Francis & Sons Furnishing House,thrissur,0.6571,18,4.2087,0.2647
kolukkumalai tent camping,munnar,0.6571,34,4.2083,0.3196
CAFE 1 AM,thrissur,0.6571,1956,4.1106,0.6813
Immaculate Heart Church,alappuzha,0.657,161,4.2322,0.4573
RCM SHOP Ulloor,thiruvananthapuram,0.657,1,4.2191,0.0623
Kalyan Silks,alappuzha,0.657,1,4.2191,0.0623
Z mall,kochi,0.657,0,4.2187,0.0
Q one Suite Hotel,kochi,0.657,7,4.2158,0.1869
VDL Plaza,thrissur,0.657,15,4.2156,0.2492
KEENJUKADAVU,wayanad,0.657,12,4.2114,0.2306
Villa Maya,thiruvananthapuram,0.6569,7912,4.4432,0.8069
Vibgyor Print Innovations,kozhikode,0.6569,24,4.222,0.2893
Thoppayil Beach Calicut,kozhikode,0.6569,1252,4.2115,0.6412
Alleppey Backwaters,alappuzha,0.6568,607,4.3075,0.5762
Central Cafe,kannur,0.6568,25,4.2234,0.2929
Finny's and Fran's,munnar,0.6568,5,4.2196,0.1611
pattalam market pattalam junction,kochi,0.6567,7,4.2214,0.1869
Draavidia Art Gallery,kochi,0.6567,46,4.2183,0.3461
Ashokapuram Building,kozhikode,0.6567,5,4.2181,0.1611
Mananchira Ground,kozhikode,0.6566,8104,4.3641,0.809
Bharathakshetra,thiruvananthapuram,0.6566,45,4.2293,0.3442
Ruby Ladies Novelty,kochi,0.6566,10,4.2206,0.2155
Sudheer food spot,alappuzha,0.6566,1,4.2191,0.0623
SATHEESH TEA STALL,alappuzha,0.6566,1,4.2176,0.0623
"Abad Plaza Hotel, MG Road, Cochin",kochi,0.6566,7889,4.2038,0.8066
Nahas Skin Clinic,kozhikode,0.6565,1172,4.3965,0.6353
St. Mary's Jacobite Syrian Orthodox Simhasana Church,thiruvananthapuram,0.6565,78,4.2405,0.3928
Love And Peace Holiday Planner Munnar,munnar,0.6565,41,4.2324,0.336
Navya Bake Shop Kuriachira,thrissur,0.6565,317,4.2298,0.518
White Saand Beach Resort,alappuzha,0.6565,153,4.2245,0.4528
House Boat Service Alappuzha,alappuzha,0.6565,27,4.2238,0.2995
Gallery AAD,kozhikode,0.6565,11,4.2202,0.2234
Ariyattil Enterprises Pvt Ltd,kochi,0.6565,7,4.2193,0.1869
D N Tea Shop,alappuzha,0.6565,0,4.2187,0.0
GIRLIKE,thrissur,0.6565,0,4.2187,0.0
Travancore Tubes,thiruvananthapuram,0.6565,40,4.2164,0.3338
Eastfort Medical Centre,thrissur,0.6565,8,4.2158,0.1975
Aban City Restaurant,kannur,0.6565,5,4.2156,0.1611
AGP SQUARE,kannur,0.6564,0,4.2187,0.0
KL71 CAFE,alappuzha,0.6564,5,4.2186,0.1611
Sen Business Centre,thiruvananthapuram,0.6564,2,4.2185,0.0988
Children's Play Area,kozhikode,0.6564,4,4.2168,0.1447
Carpet World,kozhikode,0.6563,125,4.2117,0.4347
Tea Castle,munnar,0.6563,1251,4.2115,0.6411
Bella Vista Resort,munnar,0.6563,1231,4.1735,0.6397
VOBE Garments,kozhikode,0.6562,6,4.221,0.1749
SAMEER ARCADE,kannur,0.6561,2,4.219,0.0988
Preksha digital marketing freelancer,wayanad,0.6561,0,4.2187,0.0
"Modicare Lifestyle Center, Thiruvananthapuram",thiruvananthapuram,0.6561,30,4.2184,0.3087
S S Plaza,thiruvananthapuram,0.6561,5,4.2181,0.1611
Dilli Bazar,alappuzha,0.6561,4,4.2163,0.1447
Fidco Enterprices,kozhikode,0.6561,25,4.2147,0.2929
SANGEETH MIX n MATCH,kozhikode,0.6561,10,4.2111,0.2155
Corniche Restaurant,kannur,0.6561,485,4.176,0.5561
Jasmine Homestay,kochi,0.656,101,4.2322,0.4157
PMR Complex,kannur,0.656,18,4.2248,0.2647
Alleppey boat cruise starting point,alappuzha,0.656,25,4.2234,0.2929
Schoenstatt Shrine,thrissur,0.656,17,4.2211,0.2598
Agrashala Mariyamma,kozhikode,0.656,2,4.2195,0.0988
Cuppa,kozhikode,0.656,1,4.2191,0.0623
VESTIGE TRIVANDRUM,thiruvananthapuram,0.6559,15,4.2193,0.2492
foodland,kannur,0.6559,0,4.2187,0.0
ezone palayam,thiruvananthapuram,0.6559,108,4.1972,0.4217
Madre De Deus Church (Vettucaud Church),thiruvananthapuram,0.6558,15470,4.6449,0.8672
Little Flower Church,thrissur,0.6558,358,4.2462,0.5289
Veena mukku,thiruvananthapuram,0.6558,4,4.2202,0.1447
Family plastics,thrissur,0.6558,4,4.2178,0.1447
Nettur Opticals,kannur,0.6557,9,4.2146,0.207
SilentValley Orchads & Nurseries,kozhikode,0.6557,125,4.1823,0.4347
Thumpoly Church Junction (തുമ്പോളി പള്ളി നട ജംഗ്ഷൻ ),alappuzha,0.6556,155,4.2533,0.4539
Nohark Houseboat,alappuzha,0.6556,9,4.219,0.207
St.Thomas Orthodox Church,alappuzha,0.6556,18,4.2185,0.2647
CentreHome Villa Wayanad,wayanad,0.6555,220,4.2763,0.4852
Troper Tours,thiruvananthapuram,0.6555,214,4.2555,0.4828
Kunnumpuram view point,kozhikode,0.6555,2,4.2195,0.0988
FAMOUS HOTEL & FAST FOOD,wayanad,0.6555,0,4.2187,0.0
Kannankulathu Building,kochi,0.6555,12,4.2108,0.2306
Centre Plaza,thiruvananthapuram,0.6555,87,4.2054,0.4025
Whispering Woods,wayanad,0.6555,105,4.2028,0.4192
Malankara Avenue,thiruvananthapuram,0.6555,124,4.2001,0.434
Wayanad Restaurant,wayanad,0.6554,341,4.2451,0.5245
Dronacharya Relaxing Point,kochi,0.6554,48,4.2229,0.3498
Dhilu Mall,kochi,0.6554,5,4.2206,0.1611
MV SONS ARCADE,thrissur,0.6554,30,4.2184,0.3087
Alapy Lake In,alappuzha,0.6554,38,4.2146,0.3293
Kanaka Beach House,kannur,0.6553,670,4.2391,0.5851
Busy Bees PreSchool & Daycare - Kuravankonam Jn,thiruvananthapuram,0.6553,9,4.2222,0.207
GIFT4YOU GIFT PALACE,kochi,0.6553,4,4.2202,0.1447
City Square,thiruvananthapuram,0.6553,1,4.2186,0.0623
Kaithakal Bus Stop,wayanad,0.6553,3,4.2173,0.1246
Sha Restaurant,alappuzha,0.6553,5,4.2161,0.1611
Rochas Restaurant,munnar,0.6553,4127,3.802,0.7484
Max India Glass,kozhikode,0.6552,2,4.2195,0.0988
Mystery Street,kochi,0.6552,1,4.2191,0.0623
Kuniyil Niranj's home,kozhikode,0.6551,0,4.2187,0.0
Aarushy Alleppy Shikkara,alappuzha,0.6551,0,4.2187,0.0
Centre Square Mall,kochi,0.6551,41668,4.2009,0.9562
Annas Arcade,thiruvananthapuram,0.6551,1045,4.075,0.625
Lake Side Pavilion,alappuzha,0.655,585,4.3729,0.5729
myTVS Parts Mart,thrissur,0.655,22,4.2196,0.2819
Telemate,kannur,0.655,0,4.2187,0.0
Lens and Frames Opticians,thiruvananthapuram,0.6549,833,4.419,0.6046
Salimikkante Biriyanikada,alappuzha,0.6549,17,4.2202,0.2598
SARASWATHI METAL WORKS,kochi,0.6549,8,4.2194,0.1975
Ayurvedha kerala,munnar,0.6549,0,4.2187,0.0
BBC aqua farm,thrissur,0.6548,14,4.222,0.2434
Ribbles Holidays,kochi,0.6547,203,4.2815,0.478
Hyagreeve's Area,kochi,0.6547,0,4.2187,0.0
Madassery Building,thrissur,0.6546,4,4.2192,0.1447
MARIMAYAM,kochi,0.6546,0,4.2187,0.0
Mother Theresa Jn.,wayanad,0.6546,18,4.2176,0.2647
ROSE FAMILY,wayanad,0.6545,4,4.2202,0.1447
Vattavada view point,munnar,0.6545,2,4.2195,0.0988
പഴയ നിയമസഭാ മന്ദിരം,thiruvananthapuram,0.6545,3,4.2194,0.1246
Mary Immaculate Church,thrissur,0.6544,475,4.2919,0.5542
Layli,kannur,0.6544,23,4.2242,0.2857
Asha Opticals,alappuzha,0.6544,5,4.2196,0.1611
ADDS Arcade,kochi,0.6544,30,4.214,0.3087
Pharos,alappuzha,0.6543,3,4.2199,0.1246
Nexgo Spaces,thiruvananthapuram,0.6543,2,4.218,0.0988
Muttadam kolam,thrissur,0.6542,0,4.2187,0.0
MALAGHA MART,kochi,0.6542,5,4.2186,0.1611
Rahul Traders,kannur,0.6542,2,4.2175,0.0988
"KTDC Restaurant Munnar (Multi Cuisine), Tea County KTDC Ktd",munnar,0.6542,257,4.1938,0.4992
Noble Sales Corporation,kozhikode,0.6541,9,4.2213,0.207
Rahmaniya Kethel's Chicken,kozhikode,0.6541,1198,4.0993,0.6373
Bodycare Exclusive Business Outlet Thrissur,thrissur,0.654,59,4.2382,0.368
pulickattil Handicraft Main Branch second,alappuzha,0.654,10,4.2221,0.2155
KASHI HALLEGUA HOUSE,kochi,0.6539,28,4.2267,0.3027
LOOK@ME,thrissur,0.6539,1,4.2191,0.0623
Onam Fair 2025,kannur,0.6539,15,4.2133,0.2492
Phil's Residency,kochi,0.6539,122,4.2004,0.4326
Asokam Beach Resort and Ayurveda Chikitsa Kendram,kannur,0.6539,624,4.1667,0.5787
Sakthan Thampuran Palace,thrissur,0.6538,2816,4.3247,0.714
HIKERS CAMP,wayanad,0.6538,17,4.2227,0.2598
D.V Deo,kochi,0.6538,2,4.2185,0.0988
Ratna Arcade,alappuzha,0.6537,2,4.219,0.0988
Kandathil Enterprises,alappuzha,0.6537,3,4.2188,0.1246
TK PAVITHRAN Grocery Merchant,alappuzha,0.6537,11,4.2186,0.2234
Home Style Furniture,kozhikode,0.6537,28,4.2115,0.3027
Mascot Beach Resort,kannur,0.6537,5306,4.1325,0.771
Kurumbalakotta Viewpoint Tent Stay,wayanad,0.6536,41,4.2304,0.336
Zplus Art Gallery,kozhikode,0.6536,3,4.2194,0.1246
Keraleeyam Manaveeyam,thiruvananthapuram,0.6536,4,4.2188,0.1447
"Babilon City, Makrimada",kochi,0.6536,0,4.2187,0.0
Kozhisseril Building,kochi,0.6536,0,4.2187,0.0
Mar Adhai Sleeha Chaldean Syrian Church,thrissur,0.6535,72,4.225,0.3857
Kurumbalakotta Tent stay,wayanad,0.6535,24,4.2244,0.2893
Nems Towers,kozhikode,0.6535,0,4.2187,0.0
Water Dance,munnar,0.6534,1,4.2191,0.0623
Kestrel Adventures,munnar,0.6534,4,4.2182,0.1447
GowreeshaThattukada,thiruvananthapuram,0.6534,10,4.2156,0.2155
Vibin Sibin fruits stall,thrissur,0.6533,22,4.2239,0.2819
St Joseph's Bethlehem Church Chullickal,kochi,0.6533,13,4.2231,0.2372
Sudha Bhai Square,kochi,0.6533,0,4.2187,0.0
Palm Residence,kannur,0.6533,0,4.2187,0.0
ISTORE Digital | Kannur,kannur,0.6532,440,4.3235,0.5473
Reliance Centro,thiruvananthapuram,0.6532,79,4.237,0.3939
Fragrant Nature & Aroma Group of Companies Corporate Office,kochi,0.6532,193,4.2346,0.4735
Narthaki Dance Costumes Pvt Ltd,thiruvananthapuram,0.6532,143,4.2308,0.4467
Kerala Lalithakala Akademi Art Gallery,thiruvananthapuram,0.6532,61,4.224,0.371
Blue Diamond Mall,kozhikode,0.6532,1034,4.1442,0.624
Maximunnar T & U Leisure Hotel,munnar,0.6531,3898,4.5368,0.7433
Coco Houseboats,alappuzha,0.6531,287,4.2289,0.509
Konnoth Electricals,kochi,0.6531,5,4.2206,0.1611
Marina Mall,kochi,0.6531,2296,4.0484,0.6957
Top Star TEA SHOP,kochi,0.653,33,4.2249,0.317
Subramaniam Arcade,thrissur,0.653,17,4.2202,0.2598
Kumbalam,kochi,0.653,0,4.2187,0.0
INTUNE,thiruvananthapuram,0.6529,1144,4.4302,0.6331
Riverwoodz Waterlines,alappuzha,0.6529,14,4.2241,0.2434
Star watch house,munnar,0.6529,11,4.2208,0.2234
Food Q,kannur,0.6529,1,4.2186,0.0623
Turkwise-Turkish Restaurant&Cafe,kannur,0.6529,3505,4.2068,0.7337
Capital Towers,thiruvananthapuram,0.6529,100,4.1987,0.4149
MBM MARKETING,kozhikode,0.6528,8,4.221,0.1975
unique agencies,thiruvananthapuram,0.6528,3,4.2194,0.1246
Yousuf Building,kochi,0.6528,15,4.2163,0.2492
FORTKOCHI FTADA TUK-TUK TOURS,kochi,0.6527,255,4.2618,0.4985
Luk 'n Lyk,thiruvananthapuram,0.6527,3,4.2199,0.1246
Seafood Paradise,alappuzha,0.6527,8,4.2194,0.1975
Cochin House,kannur,0.6527,2,4.2185,0.0988
Keralan Homestay Alleppey,alappuzha,0.6526,63,4.2364,0.3738
Saint Mother Teresa Pilgrim Centre,wayanad,0.6526,1,4.2191,0.0623
Alangadan Buildings-BiSys,kochi,0.6526,5,4.2166,0.1611
Snow Castle Restaurant & Bakery,wayanad,0.6526,135,4.1732,0.4416
Shalom Beach Residency,alappuzha,0.6525,474,4.2534,0.554
Colours ladies and kids stitching center,wayanad,0.6525,0,4.2187,0.0
Michaels Land Homestay Resort,kochi,0.6525,461,4.1777,0.5515
ESAF Small Finance Bank,wayanad,0.6524,12,4.2222,0.2306
Sunset view point,alappuzha,0.6524,0,4.2187,0.0
KTDC Ripple Land Restaurant,alappuzha,0.6524,951,4.0838,0.6165
Amart Stores & Supermarket,thiruvananthapuram,0.6523,10,4.2186,0.2155
Kailasam Toddy Shop,alappuzha,0.6523,58,4.1928,0.3665
Punkunnam Sree Shiva Temple,thrissur,0.6522,1865,4.4027,0.677
Exotica Cruises,alappuzha,0.6522,595,4.329,0.5744
"BRANDCOX,Areekkad Meenchanda",kozhikode,0.6522,66,4.2404,0.378
Friends Mall,thrissur,0.6522,67,4.1921,0.3793
"VLS Books,Saphalyam Shopping Complex",thiruvananthapuram,0.6522,1593,4.1217,0.6629
Orion Hyper - Home Décor,thiruvananthapuram,0.6521,200,4.217,0.4767
St. Angelo Fort Kannur,kannur,0.652,12425,4.3749,0.8474
Modicare,kochi,0.652,11,4.2224,0.2234
ESAF Small Finance Bank ATM,wayanad,0.652,0,4.2187,0.0
Estate Photo Point,munnar,0.6519,88,4.2348,0.4035
Hotel Farzana,kannur,0.6519,1,4.2191,0.0623
Chachan Trading Co,alappuzha,0.6519,17,4.2143,0.2598
ROCKET FUEL CAFE AND RESTAURANT,kannur,0.6518,23,4.223,0.2857
Tony's Chicken Center,kochi,0.6518,14,4.2227,0.2434
Manakkody Koel Wet Land,thrissur,0.6518,3,4.2194,0.1246
Prasad Arcade,thrissur,0.6518,32,4.2137,0.3143
Methan Mani,thiruvananthapuram,0.6517,394,4.265,0.5374
Tea Bungalow,kochi,0.6517,269,4.2402,0.5032
Wayanad gate,wayanad,0.6517,2,4.2195,0.0988
Moonumukku,thiruvananthapuram,0.6517,0,4.2187,0.0
NAS Complex,wayanad,0.6517,1,4.2181,0.0623
Surabhi,kochi,0.6516,3,4.2194,0.1246
Kerala Lalithakala Akademi Art Gallery,kochi,0.6516,13,4.2192,0.2372
Park'n'Joy,thiruvananthapuram,0.6516,1,4.2191,0.0623
buylet,kochi,0.6516,0,4.2187,0.0
T D COMMUNITY CULTURAL MUSEUM,kochi,0.6516,9,4.2177,0.207
Kales Agro Munnar,munnar,0.6516,3,4.2173,0.1246
SkyTower,thrissur,0.6515,16,4.2201,0.2547
AGP Garden Heritage Hall,kozhikode,0.6515,1157,4.1385,0.6341
CPS Building,thiruvananthapuram,0.6514,25,4.2135,0.2929
Raja Kayaking,alappuzha,0.6513,146,4.265,0.4486
FOODTOPIA,thrissur,0.6513,9,4.2217,0.207
Suprabatham The Veg,kozhikode,0.6513,5770,4.0563,0.7785
The Blossom Hydel Park,munnar,0.6513,10021,4.0364,0.8281
"Christ The King Knanaya Catholic Church, Eachome",wayanad,0.6512,20,4.2254,0.2737
Malana Home,wayanad,0.6512,3,4.2199,0.1246
Dhyanasankalpam,kozhikode,0.6512,1,4.2191,0.0623
Marari beach,alappuzha,0.6512,0,4.2187,0.0
MAHARANI FANCY,kannur,0.6512,8,4.2142,0.1975
Christmas Tree Fort Kochi,kochi,0.6511,141,4.2504,0.4455
Elegant Art Gallery,thrissur,0.6511,33,4.2232,0.317
Thottunkal backwaters,alappuzha,0.6511,12,4.2222,0.2306
Tee Tower,kozhikode,0.6511,2,4.219,0.0988
Janakeeya Hotel Alappuzha North,alappuzha,0.6511,2,4.2175,0.0988
Consumerfed,thiruvananthapuram,0.6511,2,4.2165,0.0988
Panamukku Open Gym,thrissur,0.651,1,4.2191,0.0623
Maharaja Garden. NR,kozhikode,0.651,1,4.2191,0.0623
Bhagavathy Plaza,thiruvananthapuram,0.651,27,4.2144,0.2995
Noushad Park,kozhikode,0.651,6,4.2126,0.1749
"Coffee Board, Panamaram",wayanad,0.6509,1,4.2191,0.0623
Pazhekat Ameya George Memorial Building,kochi,0.6509,20,4.2185,0.2737
Favour-ita International,kochi,0.6509,5,4.2156,0.1611
Green Park Residency,kannur,0.6509,949,3.8909,0.6163
Kochi Tuk Tuk heritage Tour,kochi,0.6508,21,4.2258,0.2779
Venad Inn,wayanad,0.6508,5,4.2206,0.1611
BC റെന്റൽ സ്റ്റോർ,wayanad,0.6508,0,4.2187,0.0
Sreekrishna's,alappuzha,0.6508,6,4.2186,0.1749
ഗംഗാധരൻ ബുക്ക് സ്റ്റാൾ,thrissur,0.6507,2,4.2195,0.0988
"Alappuzha Municipality Rest Centre, Chudukadu",alappuzha,0.6507,21,4.2154,0.2779
Kalassery Building,kochi,0.6507,16,4.2138,0.2547
Akkulam Children's Park,thiruvananthapuram,0.6507,1381,4.2111,0.65
Capital O Kovilakam Residency,thrissur,0.6507,3343,3.8942,0.7295
Thrissur Zoo & Museum,thrissur,0.6507,22831,3.8337,0.9021
SHARARA ARENA,kannur,0.6506,2,4.2195,0.0988
Cycling track,kozhikode,0.6506,12,4.2192,0.2306
Syam Store,thiruvananthapuram,0.6506,2,4.2185,0.0988
Sree Krishna Gujarati Marwari Restaurant Pure Veg,munnar,0.6506,1400,3.758,0.6513
Rajesh,thiruvananthapuram,0.6505,0,4.2187,0.0
Koya road beach,kozhikode,0.6505,13,4.2179,0.2372
Punjakunnu view pont,wayanad,0.6505,4,4.2168,0.1447
Blend Cafe,kannur,0.6505,549,4.1285,0.5672
Jacob's DD Mall - KMJ Digital Hub OTWA,kochi,0.6505,743,4.1053,0.5944
Homely Meals,munnar,0.6504,112,4.2495,0.4249
Matha Arcade,alappuzha,0.6504,61,4.227,0.371
കടൽ പാലം Debris of Sea bridge,kozhikode,0.6504,15,4.2215,0.2492
BATTERY POINT,kozhikode,0.6504,10,4.2206,0.2155
MJC corner GECK,kozhikode,0.6504,5,4.2206,0.1611
"IPC Ebenezer Church , Near Sarvodaya School, Eachome",wayanad,0.6504,8,4.219,0.1975
"Chundakkara, pallikkunnu, wayanad",wayanad,0.6504,2,4.219,0.0988
Nyamakad Estate C.S.I St Paul's Church,munnar,0.6504,3,4.2188,0.1246
Beach Cafeteria,alappuzha,0.6504,1,4.2181,0.0623
Forms Imperial Villas,thrissur,0.6504,18,4.2141,0.2647
Zostel Munnar,munnar,0.6503,417,4.25,0.5425
Panamaram Heronry Viewpoint,wayanad,0.6503,11,4.2224,0.2234
Global Ayurvedics,wayanad,0.6503,9,4.2208,0.207
കെ. എച്ച ബ്രദേഴ്സ് കല്ലുമ്മക്കായ,kannur,0.6503,3,4.2188,0.1246
Bapputty Arcade,kochi,0.6503,3,4.2188,0.1246
Pulikkal Building,kochi,0.6503,0,4.2187,0.0
Savoy,kannur,0.6503,1053,4.0743,0.6257
Reliance Mall Alleppey,alappuzha,0.6503,4526,3.9977,0.7567
Sakthan Nagar Sky Walk,thrissur,0.6502,0,4.2187,0.0
Daily fish,thiruvananthapuram,0.6502,5,4.2176,0.1611
Royal Fruits,kochi,0.6501,11,4.2213,0.2234
Golden Cafe Hotel,kannur,0.6501,11,4.2148,0.2234
La-Kefi,thrissur,0.65,14,4.2234,0.2434
Prasadam tea stall and catering services ( പ്രസാദം ടീ സ്റ്റാൾ & കേറ്ററിങ് സർവ്വീസസ് ),alappuzha,0.65,2,4.2195,0.0988
Colony Road,munnar,0.65,1,4.2181,0.0623
APB ARCADE,kozhikode,0.65,7,4.2179,0.1869
Akkamma Cheriyan Statue,thiruvananthapuram,0.65,25,4.216,0.2929
"St. Pius X Roman Catholic Church, Kumarapuram",thiruvananthapuram,0.6499,135,4.2301,0.4416
Raja Kesavadas Statue,alappuzha,0.6499,28,4.2212,0.3027
KERALA DINESH FAMILY SHOPEE,kannur,0.6499,8,4.221,0.1975
Photostat and DTP,thiruvananthapuram,0.6499,9,4.2164,0.207
Aquatics Complex Thrissur,thrissur,0.6499,635,4.166,0.5803
Collectorate Park,kannur,0.6498,6,4.2174,0.1749
"SNITCH - Lulu Mall, Trivandrum",thiruvananthapuram,0.6497,227,4.2576,0.488
Seft point for sun set,alappuzha,0.6497,0,4.2187,0.0
amina enterprises,thiruvananthapuram,0.6497,0,4.2187,0.0
Rosho Complex,thiruvananthapuram,0.6497,0,4.2187,0.0
New Dubai Hotel & Fast Food,alappuzha,0.6497,8,4.2154,0.1975
Logan's Lounge,kozhikode,0.6497,173,4.2092,0.4638
(വീട്ടിൽ ഊണ് ) Home Meals,alappuzha,0.6496,2,4.2195,0.0988
"Aspen By Sachi Real Estate, Thana",kannur,0.6496,1,4.2191,0.0623
appoos agencies,kozhikode,0.6496,2,4.219,0.0988
Mathoor vayal,wayanad,0.6496,1,4.2186,0.0623
Tapovanam Geriatric Park,kozhikode,0.6496,10,4.2171,0.2155
Alora Cafe,wayanad,0.6495,22,4.2272,0.2819
Goldenleaf Projects LLP,thrissur,0.6495,9,4.2213,0.207
spidey,kochi,0.6495,0,4.2187,0.0
Express Car Wash,thrissur,0.6495,122,4.2176,0.4326
GALLERY,thiruvananthapuram,0.6495,5,4.2176,0.1611
Tea shop,kochi,0.6494,0,4.2187,0.0
Kadalayi Chillout Square,kannur,0.6494,0,4.2187,0.0
M&J Vegitables And Fruits,wayanad,0.6494,1,4.2176,0.0623
H.H Uthradam Thirunal Marthanda Varma Chithralayam,thiruvananthapuram,0.6493,86,4.2262,0.4014
Kolappa Building,thiruvananthapuram,0.6493,37,4.2165,0.327
Coir Fed,thiruvananthapuram,0.6493,20,4.2165,0.2737
