name,city,shopping_score,user_ratings_total,weighted_rating,popularity_score
Sharp Logic Computer Shoppe,thrissur,0.8363,197,4.217,0.4754
"National Radio Electronics, Kannur",kannur,0.8348,4574,4.484,0.7576
Gujarati Street Graffiti,kozhikode,0.8348,47,4.2206,0.348
SMSM Centenary Building Theme showroom and Exhibition center,thiruvananthapuram,0.8345,154,4.2102,0.4534
Vestal IT Solutions,kozhikode,0.8337,2,4.219,0.0988
Kerala Village Emporium,kochi,0.8337,19,4.2129,0.2693
Cafe Film Tidbits,thrissur,0.8318,116,4.1957,0.4281
Enterprise Computing Solutions P Ltd,thiruvananthapuram,0.8313,21,4.2216,0.2779
Treasure Holidays,alappuzha,0.83,33,4.2281,0.317
Vasthuvidya Gurukulam Art Gallery,thiruvananthapuram,0.8295,3,4.2194,0.1246
Delight Shop,kochi,0.8294,23,4.2128,0.2857
Crafters Flagship Store,kochi,0.829,180,4.2502,0.4673
Wilson's Store,thrissur,0.8278,4,4.2182,0.1447
Hands Technologies,thiruvananthapuram,0.8268,135,4.2365,0.4416
Café Coffee Day,thiruvananthapuram,0.8263,4484,4.0675,0.7558
Dotz Shoes & Bags,thrissur,0.8262,17,4.2194,0.2598
Kurinji Wanderlust Resort Munnar,munnar,0.8261,944,4.2127,0.6159
Saraswathi Musical & Sports,kozhikode,0.8245,46,4.2138,0.3461
Reliance SMART BAZAAR,thrissur,0.8235,8187,3.8822,0.81
KATTANS the local tea shop,thrissur,0.8228,558,4.1055,0.5687
Dinsh Technologies,kozhikode,0.8224,7,4.2155,0.1869
Haji Building,kannur,0.822,33,4.207,0.317
LongTime Art gallery and Decor Store,thiruvananthapuram,0.8207,32,4.2294,0.3143
Little Triveni Super Store,thrissur,0.8192,21,4.2112,0.2779
Nellikkode Park,kozhikode,0.8174,74,4.2037,0.3881
"Sunny Diamonds - Mavoor Road, Calicut",kozhikode,0.8162,1288,4.4856,0.6438
Nandilath G-mart,thrissur,0.8162,2753,4.092,0.712
Houseboat Snacks,alappuzha,0.8161,11,4.218,0.2234
MIYAVAKI FOREST,kozhikode,0.8152,4,4.2172,0.1447
Kumar Home Appliances Kannur,kannur,0.8152,68,4.2115,0.3806
Vismaya,kannur,0.8139,42,4.2142,0.3381
Green's,kozhikode,0.8131,4,4.2159,0.1447
Paradesi Jewish Museum,kochi,0.8129,4,4.2198,0.1447
COCHIN MARINE DRIVE GATEWAY & WALKWAY,kochi,0.8118,91,4.2309,0.4065
Sheen Bakery,kannur,0.8118,1698,4.1642,0.6686
Rahmaniya Kethel's Chicken,thiruvananthapuram,0.8118,4630,3.9961,0.7587
Over Drive,kannur,0.8115,210,4.1979,0.4811
Margin Free Super Market Akkulam Pulayanarkotta,thiruvananthapuram,0.811,208,4.1887,0.4802
Madhuram Bakers & Snack Bar,thrissur,0.8107,7,4.2211,0.1869
Nehru Trophy Island Pavilion,alappuzha,0.8106,19,4.2223,0.2693
Alleppey Beach,alappuzha,0.8102,39114,4.3912,0.9505
ARABIAN SHAKE & FOOD COURT,kochi,0.81,67,4.2213,0.3793
Malabar Gold and Diamonds - Alappuzha,alappuzha,0.8094,2253,4.4737,0.694
Bun Club,kozhikode,0.8082,1811,4.1148,0.6744
Barbeque Nation - Thrissur - Selex Mall,thrissur,0.8081,2744,4.15,0.7117
Kollamkode Palace.,thrissur,0.8079,295,4.2034,0.5115
Amaze World (Vijay Park Alappuzha),alappuzha,0.807,2194,3.9997,0.6916
View Point,thrissur,0.8069,43,4.2162,0.3402
Chellam Umbrella Mart,thiruvananthapuram,0.8063,485,4.1565,0.5561
The Dream Cruises,alappuzha,0.8056,7,4.2165,0.1869
AR Houseboats,alappuzha,0.8054,51,4.2307,0.3552
McDonald's,thrissur,0.8049,2344,4.2626,0.6976
Woodland,thrissur,0.8048,33,4.2119,0.317
"Sacred Heart Roman Catholic Latin Church, Thrissur",thrissur,0.8028,1808,4.4472,0.6742
Fathima Home Needs,thrissur,0.8025,1,4.2191,0.0623
Indian Coffee House,thrissur,0.8021,829,4.096,0.6042
AMSET Centre,thiruvananthapuram,0.8015,252,4.183,0.4974
Koodaram camping,munnar,0.8012,885,4.3663,0.6101
BoneyM FOOD ZONE,thrissur,0.8011,6,4.2171,0.1749
GENILOK Computer Solutions Private Limited,thiruvananthapuram,0.8008,19,4.2223,0.2693
LACHH Family Restaurant,alappuzha,0.7999,101,4.213,0.4157
United Stores,kochi,0.7996,3,4.2199,0.1246
Delfrez,kochi,0.799,15,4.2193,0.2492
Nettissery Paddy Lands View Point,thrissur,0.7984,158,4.2466,0.4556
Karikku Tea SPoT,wayanad,0.7971,68,4.2181,0.3806
HIFIDEMOROOM,thiruvananthapuram,0.7963,32,4.2263,0.3143
D C Bookshop (Thrissur),thrissur,0.7959,670,4.214,0.5851
Elements The Organic Store,kozhikode,0.7958,53,4.2234,0.3586
Fort Heritage,kochi,0.7958,50,4.2109,0.3534
Salvation Army Johnson Hall,thiruvananthapuram,0.7958,226,4.1965,0.4877
Zam Zam Restaurants YMR,thiruvananthapuram,0.7949,14878,4.2022,0.8636
Munnar Town,munnar,0.7946,396,4.2652,0.5379
KJ Ape Work Shop,wayanad,0.7945,2,4.2195,0.0988
South Beach Promenade,kozhikode,0.7942,1976,4.3088,0.6822
Tea Kadai,thrissur,0.794,1409,4.211,0.6518
Cinnamon Gardens Spices Plantation,munnar,0.793,589,4.2599,0.5735
P R Bakery,kannur,0.793,126,4.1998,0.4354
Bhima Jewellers,kozhikode,0.7927,4381,4.6178,0.7538
Comsol,thiruvananthapuram,0.7926,266,4.193,0.5022
BulBul Cafe,kannur,0.7923,471,4.2723,0.5535
Hotel Amrutha,kozhikode,0.7921,701,4.0322,0.5891
Butler's Creek,munnar,0.791,391,4.1666,0.5368
Winners Stationery,thiruvananthapuram,0.7903,278,4.253,0.5062
"Voltas Brand Shop - Multisales, Ernakulam",kochi,0.7901,47,4.2137,0.348
Maharaja Gold and Diamonds Jewellery,kochi,0.7897,2752,4.5553,0.712
Ummerkkas Hotel,kochi,0.7891,81,4.218,0.3961
Courtyard garden,thiruvananthapuram,0.788,21,4.2175,0.2779
CURRENT BOOKS,thrissur,0.7876,168,4.2172,0.4611
Kanimangalam paadam,thrissur,0.7873,9,4.2213,0.207
Masafi Family Restaurant,kochi,0.7873,67,4.1986,0.3793
Triveni boat house,alappuzha,0.7868,58,4.2266,0.3665
Arjun tea shop,alappuzha,0.7861,16,4.2193,0.2547
Royal Bakers & Restaurant,kochi,0.7858,1163,4.0647,0.6346
Appus Bakery,kochi,0.7854,28,4.2212,0.3027
KV STORES,wayanad,0.7851,3,4.2188,0.1246
Car Club - Luxury Used Cars,thrissur,0.7847,38,4.2239,0.3293
Sree Vinayaka Tiffin Centre,munnar,0.7845,8,4.221,0.1975
Mayflower Restaurant & Catering,kozhikode,0.7843,3832,4.075,0.7417
Thrissur Kappi Club,thrissur,0.7838,159,4.232,0.4562
Baker Boys,kannur,0.7835,513,4.2353,0.5611
Viyyur Jail Park,thrissur,0.7835,28,4.2184,0.3027
Kerala Folklore Museum,kochi,0.7833,11991,4.2884,0.8443
The Dumpling House,kannur,0.7831,153,4.2174,0.4528
The Streetscape,kochi,0.7817,1379,4.3335,0.6499
New Rajasthan Marbles,thiruvananthapuram,0.7815,991,4.3782,0.6202
Azheekal View Point,kozhikode,0.7814,57,4.2237,0.365
Bhima Jewellers,kannur,0.78,2528,4.5991,0.7043
DAKSHINA ELECTRONICS.,thiruvananthapuram,0.7799,60,4.2152,0.3695
Arabian Grills Munnar,munnar,0.7797,1268,4.3278,0.6424
Big Indian Arts,thiruvananthapuram,0.7797,42,4.2306,0.3381
VEDA WELLNESS,kochi,0.7797,35,4.2184,0.3221
Karthika Hotel,alappuzha,0.7797,421,4.1459,0.5434
Coconut Museum,kochi,0.7795,66,4.1989,0.378
Bun Club,kozhikode,0.7795,1470,4.126,0.6556
Nettissery Padashekaram,thrissur,0.7789,152,4.2456,0.4522
"Greens Hyper Market,City Centre Kannur",kannur,0.7788,1353,4.1304,0.6482
S&G FOOD COURT,alappuzha,0.7787,40,4.2262,0.3338
Ojin Bakes,kozhikode,0.7786,695,3.9818,0.5884
"St. Thérèse of Lisieux Roman Catholic Church, Vellayambalam",thiruvananthapuram,0.7785,451,4.2704,0.5496
ST Nayamakad View Point,munnar,0.7782,17,4.2227,0.2598
Munnar Tea Garden View Point,munnar,0.7775,198,4.262,0.4758
East Fort,thiruvananthapuram,0.7767,1846,4.3057,0.6761
Tea Valley Photo Point,munnar,0.7767,113,4.2391,0.4257
Sukhalaya Cruise,alappuzha,0.7766,3,4.2194,0.1246
AMSAM TILES AND GRANITE,thiruvananthapuram,0.7765,24,4.222,0.2893
Gift World,kochi,0.7758,18,4.2194,0.2647
Chiyyaram Walking Street,thrissur,0.7754,134,4.2426,0.4409
90'S Kugramam Antique Store,kozhikode,0.7745,20,4.2264,0.2737
Pakku's Toddy Shop,alappuzha,0.7742,245,4.1403,0.4949
PHOTO POINT,munnar,0.7741,8,4.2202,0.1975
Tea Tales Cafe,munnar,0.7736,874,4.2434,0.6089
RENJU BAKERY,alappuzha,0.7736,21,4.2226,0.2779
Riviera Suites,kochi,0.7734,1661,4.2556,0.6666
The Mobile Store,thrissur,0.7734,5,4.2176,0.1611
"Navya Bake Shop, West Fort",thrissur,0.7733,522,4.2355,0.5627
Kanampuzha Walkway,kannur,0.773,44,4.2226,0.3422
Karikkakam The village Market,thiruvananthapuram,0.773,0,4.2187,0.0
Priya Hotel,thrissur,0.7729,31,4.2077,0.3115
I Love Munnar,munnar,0.7724,54,4.2261,0.3602
SP Margin Free Supermarket,thiruvananthapuram,0.7724,108,4.2126,0.4217
Local Sustainable Living,kochi,0.7719,47,4.232,0.348
Pothamedu view point (Koodaram),munnar,0.7716,62,4.2121,0.3724
Chaithram Art Collections,thiruvananthapuram,0.77,15,4.2215,0.2492
Fort Kochi View Point,kochi,0.7698,3263,4.3931,0.7273
Mrudula,thrissur,0.7692,156,4.2463,0.4545
Costa Gama Home Stay Fort Cochin,kochi,0.7691,197,4.2618,0.4754
Vypin Walk Way,kochi,0.7686,52,4.2182,0.3569
Vasco D'Gama Square,kochi,0.7677,11778,4.2882,0.8426
The Avenue Regent,kochi,0.7671,7270,4.3609,0.7993
Sports & Fitness World,thrissur,0.7671,19,4.226,0.2693
Gourmet Food court,kochi,0.767,328,4.1597,0.521
Toshiba Laptops,thiruvananthapuram,0.7663,14,4.2172,0.2434
Best Bakery & Sweets.,kochi,0.7663,41,4.2083,0.336
Orgafresh,thiruvananthapuram,0.766,15,4.2148,0.2492
Delfrez,kochi,0.7658,51,4.2257,0.3552
Methyz,kozhikode,0.7652,56,4.2127,0.3634
Hotel Green Plate,thrissur,0.7648,1,4.2186,0.0623
National Stores,kochi,0.7647,1,4.2191,0.0623
Manaveeyam Veedhi,thiruvananthapuram,0.7642,2109,4.2604,0.6881
Mazhavil paalam,kochi,0.7641,26,4.2172,0.2963
