name,category,rating,sentiment,city,lat,lng,review_count,review_avg_rating,user_ratings_total,has_review,review_length,popularity_signal
Amme Narayana Temple,hindu temple,4.5,0.7284970396898945,kochi,9.9576713,76.2450789,2,4.5,6,1,37,1.94591
St. George Orthodox Koonan Kurish Old Syrian Church,tourist attraction,4.7,0.9605188067229641,kochi,9.963213499999998,76.2541365,5,5.0,1252,1,324,7.133296
Je Sant o Casa,tourist attraction,4.8,0.5950781798144016,kochi,9.955785099999998,76.24111289999999,5,4.2,37,1,420,3.637586
Kodaihorse,tourist attraction,0.0,0.5,kochi,9.9579917,76.2911654,0,0.0,0,0,0,0.0
GreenHaven Tours,tourist attraction,4.6,0.8990332882472738,kochi,9.9599338,76.28904109999999,5,4.8,217,1,334,5.384495
Konthuruthy end,tourist attraction,4.2,0.3357936273434294,kochi,9.9360521,76.3033319,1,2.0,9,1,5,2.302585
Mahishamudi,tourist attraction,0.0,0.5,kochi,9.9419612,76.3028517,0,0.0,0,0,0,0.0
Babilon Tunnel,tourist attraction,0.0,0.5,kochi,9.9428865,76.30255269999999,0,0.0,0,0,0,0.0
FORTKOCHI FTADA TUK-TUK TOURS,tourist attraction,4.6,0.7792371982982644,kochi,9.9654338,76.2532995,5,5.0,255,1,418,5.545177
Thevara Kumbalam Backwater,tourist attraction,4.8,0.7119141302772524,kochi,9.9253466,76.3042826,5,4.8,13,1,75,2.639057
Thevara Ferry View point,tourist attraction,4.1,0.8864847354907355,kochi,9.9258589,76.30446839999999,5,4.0,26,1,130,3.295837
Dronacharya Relaxing Point,tourist attraction,4.4,0.7911693005936385,kochi,9.9569257,76.23975109999999,5,4.2,48,1,167,3.89182
Chellanam Village,tourist attraction,4.3,0.806657849407172,kochi,9.8780784,76.26332239999999,5,4.4,180,1,112,5.198497
Sunrise Viewpoint ZM,tourist attraction,5.0,0.5,kochi,9.8901478,76.261071,0,5.0,3,0,0,1.386294
Kumbalangi Nights,tourist attraction,4.2,0.8244751189216036,kochi,9.8897475,76.2616829,5,4.2,148,1,170,5.003946
Fabian Beach,tourist attraction,0.0,0.5,kochi,9.8820727,76.2607354,0,0.0,0,0,0,0.0
Gt point,tourist attraction,3.0,0.439667072789332,kochi,9.882174799999998,76.2614559,1,3.0,1,1,13,0.693147
Kallenchery View Point,tourist attraction,4.6,0.8103939032765669,kochi,9.894192899999998,76.27616239999999,5,4.8,45,1,162,3.828641
Kumbalanghi village tours | Things to do in Kochi,tourist attraction,4.9,0.9518954579819359,kochi,9.8909836,76.2776183,5,5.0,290,1,409,5.673323
Kannamaly beach,tourist attraction,4.7,0.47426100793571435,kochi,9.8766702,76.2611357,5,4.6,59,1,117,4.094345
Kannamaly pulimuttu Seaview point,tourist attraction,5.0,0.8716496444247126,kochi,9.8749814,76.2610753,1,5.0,5,1,5,1.791759
KANNAMALY,tourist attraction,4.9,0.823774555401165,kochi,9.8757834,76.26400799999999,1,5.0,7,1,20,2.079442
Kallenchery Backwaters,tourist attraction,3.7,0.5271960461481426,kochi,9.891836599999998,76.281848,1,3.0,10,1,1,2.397895
Kumbalangi View Point,tourist attraction,4.3,0.9316929739139395,kochi,9.8877551,76.27938340000001,5,4.4,318,1,795,5.765191
Kannamaly River View Point,tourist attraction,5.0,0.5,kochi,9.873504600000002,76.2652971,0,5.0,2,0,0,1.098612
Club 14,tourist attraction,4.7,0.5,kochi,9.8933725,76.2877879,0,4.7,3,0,0,1.386294
Puthenthode Beach,tourist attraction,4.5,0.9000651968230956,kochi,9.869611099999998,76.2630556,5,4.8,1260,1,167,7.13966
Pallithodu beach,tourist attraction,4.2,0.8409235027420866,kochi,9.8696135,76.26306679999999,5,3.8,13,1,111,2.639057
HALF°MOON BEACH KOCHI,tourist attraction,4.5,0.8978632304978142,kochi,9.8695659,76.2630987,5,4.2,156,1,484,5.056246
