name,category,types,rating,review,city,lat,lng,review_count,review_avg_rating,user_ratings_total,interest_scores_json,interest_tags,interest_tag_count,interest_tags_json,intent_scores_json,intent_tags,intent_tag_count,intent_tags_json,clean_interest_tags,clean_interest_tag_count,clean_interest_tags_json,clean_intent_tags,clean_intent_tag_count,clean_intent_tags_json
Mini Forest,park,park | tourist_attraction | point_of_interest | establishment,4.4,,bengaluru,12.9116185,77.5986986,0,4.4,11270,"{""nature"": 1.0}",nature,1,"[""nature""]",{},,0,[],nature,1,"[""nature""]",,0,[]
Indira Gandhi Musical Fountain Park,park,park | tourist_attraction | point_of_interest | establishment,4.1,,bengaluru,12.9853733,77.59168389999999,0,4.1,11106,"{""nature"": 0.9}",nature,1,"[""nature""]",{},,0,[],nature,1,"[""nature""]",,0,[]
Breakout® Escape Rooms | Koramangala | #1 Escape Room in Bangalore,tourist attraction,tourist_attraction | point_of_interest | establishment,4.7,,bengaluru,12.938395,77.63059950000002,0,4.7,10324,{},,0,[],{},,0,[],,0,[],,0,[]
Namma Bengaluru Aquarium,aquarium,aquarium | tourist_attraction | point_of_interest | establishment,3.9,,bengaluru,12.9765148,77.5985397,0,3.9,9674,{},,0,[],{},,0,[],,0,[],,0,[]
"Varaprada Sri Venkateshwara Temple, Devagiri",hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.8,,bengaluru,12.9261498,77.5675473,0,4.8,7232,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Tripper Trails- The most loved travel company | Best Travel Agency in Bangalore,travel agency,travel_agency | tourist_attraction | point_of_interest | establishment,4.9,,bengaluru,12.9351188,77.54752169999999,0,4.9,6307,{},,0,[],{},,0,[],,0,[],,0,[]
Sri Dakshinamukha Nandi Tirtha Kalyaani Kshetra,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.8,,bengaluru,13.004398,77.5721844,0,4.8,6126,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
St Patrick's Church,tourist attraction,tourist_attraction | church | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.9700658,77.60594429999999,0,4.7,5667,"{""culture"": 0.7}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Ashoka Pillar Monument,tourist attraction,tourist_attraction | point_of_interest | establishment,4.5,,bengaluru,12.9437675,77.5852705,0,4.5,5410,{},,0,[],{},,0,[],,0,[],,0,[]
Tavarekere Park,park,park | tourist_attraction | point_of_interest | establishment,4.2,,bengaluru,12.928664,77.6023044,0,4.2,5200,"{""nature"": 0.96}",nature,1,"[""nature""]",{},,0,[],nature,1,"[""nature""]",,0,[]
