name,category,rating,sentiment,city,lat,lng,review_count,review_avg_rating,user_ratings_total,has_review,review_length,popularity_signal
Maha Bodhi Society,tourist attraction,4.7,0.5,bengaluru,12.9784856,77.5810225,0,4.7,1796,0,0,7.493874
Floral Clock,tourist attraction,4.3,0.5,bengaluru,12.9518954,77.58489329999999,0,4.3,1715,0,0,7.447751
Sri Yadugiri Yathiraja Mutt,hindu temple,4.5,0.5,bengaluru,13.0021189,77.571186,0,4.5,1639,0,0,7.402452
National Military Memorial Park,park,4.5,0.5,bengaluru,12.9854791,77.59048469999999,0,4.5,1573,0,0,7.361375
Kalyana Venkateshwara Swamy Temple,hindu temple,4.7,0.5,bengaluru,12.910415,77.5822853,0,4.7,1560,0,0,7.353082
Sree Lakshmi Venkateshwara Siddhi Vinayaka varadanjaneya Devasthana,hindu temple,4.6,0.5,bengaluru,12.9161402,77.602916,0,4.6,1485,0,0,7.303843
The Weekend Dog Park @ Cubbon Park,park,4.8,0.5,bengaluru,12.9743559,77.5901927,0,4.8,1479,0,0,7.299797
Rangoli Metro Art Center,art gallery,4.3,0.5,bengaluru,12.9763051,77.60379019999999,0,4.3,1473,0,0,7.295735
NIMHANS Brain Museum Bengaluru,museum,4.6,0.5,bengaluru,12.9398589,77.595128,0,4.6,1394,0,0,7.24065
Kote Sri Prasanna Venkataramana Swamy Temple,hindu temple,4.7,0.5,bengaluru,12.9595393,77.5740643,0,4.7,1299,0,0,7.17012
Government Museum,museum,4.2,0.5,bengaluru,12.9746376,77.595827,0,4.2,1199,0,0,7.090077
Lalbagh Waterfall,tourist attraction,4.3,0.5,bengaluru,12.9466354,77.5864963,0,4.3,1171,0,0,7.066467
Venkatappa Art Gallery Bengaluru,art gallery,4.2,0.5,bengaluru,12.9742357,77.5953023,0,4.2,1169,0,0,7.064759
Shri Dattatreya Devasthana (Hosakerehalli),hindu temple,4.5,0.5,bengaluru,12.9248842,77.5401899,0,4.5,1112,0,0,7.014814
CSI Holy Trinity Church,church,4.6,0.5,bengaluru,12.9721431,77.6205788,0,4.6,1020,0,0,6.928538
Sri Ayyappa Swamy Temple Kalasipalya,hindu temple,4.8,0.5,bengaluru,12.959833,77.577503,0,4.8,968,0,0,6.876265
Jayanagara Park,park,4.2,0.5,bengaluru,12.9338816,77.5872718,0,4.2,897,0,0,6.80017
View point,tourist attraction,4.3,0.5,bengaluru,12.9385911,77.5375304,0,4.3,880,0,0,6.781058
Shri Gundlu Muneshwara Swamy Devasthana,hindu temple,4.8,0.5,bengaluru,12.9361927,77.6068014,0,4.8,828,0,0,6.72022
Sri Pralayakaalada Veerabhadraswami Gudi,hindu temple,4.7,0.5,bengaluru,12.9479404,77.5581468,0,4.7,822,0,0,6.712956
Shri Rama Devara Temple,hindu temple,4.6,0.5,bengaluru,12.9378201,77.5709804,0,4.6,818,0,0,6.708084
Department of Archaeology and Museums,museum,4.3,0.5,bengaluru,12.97465,77.5958911,0,4.3,801,0,0,6.687109
Bal Bhavan society,tourist attraction,4.2,0.5,bengaluru,12.9768883,77.5987379,0,4.2,781,0,0,6.661855
Swarna Tours and Travels,tourist attraction,5.0,0.5,bengaluru,12.9966747,77.57028199999999,0,5.0,703,0,0,6.556778
Shri Ramanjaneya Swamy Devasthana,hindu temple,4.7,0.5,bengaluru,12.9353779,77.57165289999999,0,4.7,546,0,0,6.304449
KRISHNA TOURS AND TRAVELS,travel agency,4.8,0.5,bengaluru,12.9163266,77.6101673,0,4.8,533,0,0,6.280396
